Index,V1,V2,V3,V4
226,284383,240255,88649,139635
227,284357,240196,88501,139710
228,284576,239909,88249,139640
229,285067,239905,88449,139686
230,285430,239932,88841,139795
231,285714,240100,88820,139614
232,285829,240502,88657,143328
233,285689,240156,88648,139912
234,285591,239956,88536,139686
235,285345,240346,88597,139686
236,285253,240231,88573,139608
237,285174,240199,88541,139515
238,285272,240206,88562,139579
239,285247,240154,88441,139542
240,285285,240009,88419,139603
241,285444,239874,88534,139548
242,285664,240030,88745,139480
243,286056,240177,88877,139791
244,286445,240304,88925,139884
245,286805,240315,88759,139786
246,286577,240264,88497,139984
247,286616,240055,88812,139872
248,286667,240135,88729,139532
249,2089099,240126,88592,139659
250,286098,240222,88547,139806
251,286017,240308,88451,139713
252,286361,240140,88089,139831
253,286534,239837,88360,139956
254,286890,239955,88817,140002
255,287043,239960,88971,139766
256,287284,240140,88897,139774
257,287485,240127,88832,139537
258,287170,239951,88811,139627
259,287058,239813,88713,139788
260,286816,239940,88594,139748
261,286665,240108,88666,139760
262,286676,239977,88567,139699
263,286423,240090,88592,139576
264,286257,240006,88422,139472
265,286229,239963,88354,139652
266,286229,240001,88606,139692
267,286692,240123,88842,139632
268,287256,240045,88661,139722
269,287380,240213,88651,139842
270,287537,240176,88704,139635
271,392712,240064,88700,139540
272,286565,241632,88414,139701
273,286635,240114,88510,139695
274,286603,239927,88682,139864
275,286400,239973,88462,139858
276,286628,240094,88549,139532
277,286594,240164,88490,139823
278,286707,240097,88491,139955
279,287005,240108,88532,139681
280,287468,240173,88551,139759
281,287538,240232,88411,2080836
282,287436,240250,88433,139773
283,287517,240256,88407,139722
284,287463,240228,88413,139594
285,287266,240302,88678,139668
286,287125,240282,88504,139666
287,286977,240214,88567,139688
288,286742,240237,88782,139534
289,286955,239917,88546,139537
290,287315,239905,88592,139687
291,287618,240222,88669,139886
292,287806,240208,88658,139869
293,294880,240174,88534,139685
294,288512,240149,88782,139699
295,288483,261891,88656,139604
296,288456,240118,88578,139603
297,288132,239876,88573,139743
298,287908,239999,88499,139464
299,287893,240081,88400,139262
300,287847,239946,88501,139485
301,288033,239986,88784,139453
302,287945,240152,88660,139385
303,288057,240020,88660,139599
304,288485,240080,88830,139812
305,288738,240172,88659,196098
306,288964,240222,88700,139797
307,288972,240256,88685,139648
308,289145,239988,88661,139564
309,288965,239976,88754,139496
310,288597,240176,88482,139627
311,288618,240256,88442,139794
312,288460,239822,88553,139777
313,288372,239595,88553,139814
314,288496,240032,88692,139878
315,288766,240072,88391,139795
316,289390,240085,88482,139830
317,289233,240062,88598,139756
318,289391,522269,88573,139786
319,289453,240087,88486,139853
320,289679,240039,88472,139914
321,289525,240060,88744,139880
322,289179,240081,88573,139829
323,288997,239976,88531,139774
324,288816,240038,88777,139796
325,288748,239930,88564,139842
326,288953,240082,88519,139800
327,289434,240188,88661,139676
328,289738,240234,88721,139574
329,290056,240283,88665,143328
330,290242,240282,88765,139796
331,290124,240368,88925,139613
332,290369,240487,88816,139474
333,290435,240271,88721,139354
